subdomain,ip
frontend.citiaps.usach.cl,158.170.66.105
fudea.usach.cl,198.49.23.145
fudea.usach.cl,198.185.159.144
fudea.usach.cl,198.185.159.145
fudea.usach.cl,198.49.23.144
fude.online.usach.cl,158.170.64.205
fude.usach.cl,158.170.66.14
funcionarios.usach.cl,158.170.66.156
gafevol.usach.cl,158.170.66.208
gdcm.usach.cl,158.170.11.24
gdrc.fing.usach.cl,158.170.11.35
geodesychile.usach.cl,158.170.66.148
geogebra.usach.cl,fourier.usach.cl.
geogebra.usach.cl,158.170.66.208
geoingenieria.usach.cl,158.170.64.150
gepeci.usach.cl,158.170.66.208
gestion2030.usach.cl,158.170.64.65
gestion-postgrado.usach.cl,158.170.66.64
gestionresiduos.usach.cl,158.170.64.150
git.segic.cl,158.170.64.35
gloriacardenasjiron.usach.cl,158.170.64.150
grin.fing.usach.cl,158.170.10.184
guiaweb.usach.cl,158.170.64.150
hbcponline.com.ezproxy.usach.cl,158.170.10.44
hectorchavez.usach.cl,158.170.64.116
helpdesk.segic.cl,158.170.10.51
historia.udesantiago.cl,158.170.64.116
historia.usach.cl,158.170.66.237
horarios.usach.cl,158.170.66.234
hosting.usach.cl,158.170.64.24
hoth.diinf.usach.cl,158.170.35.66
huelen.diinf.usach.cl,158.170.35.17
icpr2012.usach.cl,158.170.64.116
ideasdecalidad.usach.cl,158.170.64.86
idea.usach.cl,158.170.66.48
idi.fing.usach.cl,158.170.66.188
idiomas.usach.cl,158.170.64.116
ieeexplore-ieee-org.ezproxy.usach.cl,158.170.10.44
ieeexplore.ieee.org.ezproxy.usach.cl,158.170.10.44
iestadistica.usach.cl,158.170.77.212
image-register.dti.usach.cl,158.170.66.39
incuba.arica.usach.cl,158.170.66.197
incubadoraea.usach.cl,158.170.64.150
informatica.usach.cl,158.170.35.191
informaticos.usach.cl,158.170.66.14
ingelec.usach.cl,158.170.64.51
ingemat.usach.cl,158.170.77.212
ingenieriabiomedica.usach.cl,158.170.64.150
ingenieriadeprocesos.usach.cl,158.170.66.237
ingenieriaindustrial-usach.cl,201.148.105.43
ingenieriaindustrial.usach.cl,ingenieriaindustrial-usach.cl.
ingenieriaindustrial.usach.cl,201.148.105.43
inicio.diinf.usach.cl,158.170.35.166
inned.usach.cl,158.170.66.237
innovadiinf.usach.cl,158.170.66.128
innovo.usach.cl,158.170.66.230
inscripcioncandidaturas.usach.cl,158.170.66.176
integracion-ingenieria.usach.cl,158.170.64.24
interaction-dashboard.diinf.usach.cl,158.170.35.196
interaction.diinf.usach.cl,158.170.35.193
interaction.informatica.usach.cl,158.170.35.193
interaction-lab.diinf.usach.cl,158.170.35.196
interaction-lab.informatica.usach.cl,158.170.35.193
internacional.usach.cl,158.170.66.151
intrafae.usach.cl,158.170.10.181
intranet.usach.cl,158.170.64.24
intranet.vriic.usach.cl,158.170.66.231
inventario.diinf.usach.cl,158.170.35.40
iopscience.iop.org.ezproxy.usach.cl,158.170.10.44
isidoraaguirre.usach.cl,158.170.66.24
iso.segic.cl,158.170.64.24
jayma.usach.cl,158.170.66.105
jcr-clarivate-com.ezproxy.usach.cl,158.170.10.44
jint.usach.cl,158.170.64.110
journals-aps-org.ezproxy.usach.cl,158.170.10.44
journals.aps.org.ezproxy.usach.cl,158.170.10.44
jstor.org.ezproxy.usach.cl,158.170.10.44
juego.usach.cl,158.170.64.58
kee.segic.cl,158.170.64.139
koyaku.usach.cl,158.170.66.210
kpifae.usach.cl,158.170.20.206
lab-acustica.usach.cl,158.170.64.150
labcontrol.usach.cl,158.170.64.150
labgetic.usach.cl,158.170.64.139
labiotam.usach.cl,158.170.64.150
laboral.usach.cl,usach.reqlut.com.
laboral.usach.cl,ns.reqlut.com.
laboral.usach.cl,13.216.95.52
laboratorios.qyb.usach.cl,158.170.64.150
labteldie.usach.cl,158.170.107.39
laetitia.usach.cl,ns.reqlut.com.
laetitia.usach.cl,13.216.95.52
lcc.usach.cl,158.170.77.212
ldap.usach.cl,158.170.64.42
lec.usach.cl,158.170.64.116
lefmvespertino.usach.cl,fisica.usach.cl.
lefmvespertino.usach.cl,158.170.64.150
legacy.registro.usach.cl,158.170.10.236
lemc.usach.cl,158.170.77.212
leomedina.diinf.usach.cl,158.170.35.8
leomedina.informatica.usach.cl,158.170.35.8
leo.usach.cl,158.170.64.113
libif.usach.cl,158.170.64.150
lib.myilibrary.com.ezproxy.usach.cl,158.170.10.44
librenms.usach.cl,158.170.68.70
liceos.usach.cl,158.170.64.106
lictex.usach.cl,158.170.64.150
linguisticayliteratura.usach.cl,158.170.64.150
link.springer.com.ezproxy.udesantiago.cl,158.170.10.44
link-springer-com.ezproxy.usach.cl,158.170.10.44
lista-espera.usach.cl,158.170.64.234
listaespera.usach.cl,158.170.64.237
llavecampus.usach.cl,158.170.64.202
loa.usach.cl,158.170.10.76
loa.usach.cl,158.170.10.70
loa.usach.cl,158.170.10.75
login.cui.segic.cl,158.170.10.67
login.dei.usach.cl,158.170.10.193
login.ezproxy.usach.cl,158.170.10.44
logt.usach.cl,158.170.64.116
lsg.diinf.usach.cl,158.170.35.193
maas02.diinf.usach.cl,158.170.35.164
macul.citiaps.usach.cl,158.170.66.111
mafi.usach.cl,158.170.66.194
magestec.usach.cl,158.170.64.116
magiet.usach.cl,158.170.66.237
magingquimica.usach.cl,158.170.64.150
magistercomunicacion.usach.cl,158.170.64.150
magister.dmcc.usach.cl,158.170.77.212
magistereconomia.usach.cl,158.170.66.194
magisterelectrica.usach.cl,158.170.66.216
magisterestructuras.usach.cl,158.170.66.210
mail.diseno.usach.cl,158.170.66.115
mail.ingenieriaindustrial-usach.cl,ingenieriaindustrial-usach.cl.
mail.ingenieriaindustrial-usach.cl,201.148.105.43
mailmasivo.segic.cl,158.170.66.37
mail.smartcitylab-usach.cl,smartcitylab-usach.cl.
mail.smartcitylab-usach.cl,192.140.56.40
mail.usach.cl,158.170.64.201
mastermida.usach.cl,158.170.64.150
matricula-ibero.usach.cl,158.170.64.58
matricula-online-test.usach.cl,104.18.21.49
matricula-online-test.usach.cl,104.18.20.49
matricula-online.usach.cl,158.170.64.234
mat.usach.cl,158.170.77.212
mauchin.usach.cl,158.170.64.33
mcd.usach.cl,138.186.9.52
mcii.usach.cl,158.170.64.150
medicina.usach.cl,158.170.66.237
meetingengine.diinf.usach.cl,158.170.35.27
mem.dmcc.usach.cl,158.170.77.212
mesadeayuda.diinf.usach.cl,158.170.35.190
mesadeayuda.informatica.usach.cl,158.170.35.190
metalurgia.usach.cl,158.170.66.48
metodosnumericos.dmcc.usach.cl,158.170.66.208
mhe.usach.cl,158.170.66.194
micredencial.usach.cl,158.170.66.176
minimonitor.segic.cl,158.170.69.11
minio.segic.cl,158.170.10.34
mma.ingenieria.usach.cl,158.170.64.150
mo.diinf.usach.cl,158.170.35.8
mo.informatica.usach.cl,158.170.35.8
motions.diinf.usach.cl,158.170.35.8
motions.informatica.usach.cl,158.170.35.8
movilidadinterna.usach.cl,158.170.66.65
mri.usach.cl,158.170.64.116
msanchez.usach.cl,158.170.64.154
msp.usach.cl,158.170.64.150
mundosenior.citiaps.usach.cl,158.170.66.128
mundosenior.usach.cl,158.170.66.128
municipalidades.citiaps.usach.cl,158.170.66.111
mustafar.diinf.usach.cl,158.170.35.150
nanoseguridad.usach.cl,158.170.66.200
nanoserver.usach.cl,158.170.66.25
ncbiinsights-ncbi-nlm-nih-gov.ezproxy.usach.cl,158.170.10.44
netlizama.usach.cl,158.170.66.208
neuroeng.diinf.usach.cl,158.170.35.8
neuroeng.informatica.usach.cl,158.170.35.8
neurone.diinf.usach.cl,neurone.info.
neurone.diinf.usach.cl,165.227.49.255
neurone.informatica.usach.cl,neurone.info.
neurone.informatica.usach.cl,165.227.49.255
niif-ifrs.usach.cl,158.170.66.194
nomasviolencia.usach.cl,158.170.66.26
ntp.usach.cl,158.170.4.2
nuevaweb.usach.cl,158.170.64.150
oauth.prd.usach.cl,158.170.10.193
oauth.usach.cl,158.170.10.74
obrasciviles.usach.cl,158.170.66.210
observatorios.citiaps.usach.cl,158.170.66.128
observatorios.usach.cl,158.170.66.128
onlinelibrary.wiley.com.ezproxy.udesantiago.cl,158.170.10.44
operaciones.diinf.usach.cl,158.170.35.166
operaciones.informatica.usach.cl,158.170.35.166
oppt.usach.cl,158.170.64.150
ora.sai.usach.cl,158.170.68.22
org.ezproxy.usach.cl,158.170.10.44
orson.citiaps.usach.cl,158.170.66.105
pace.usach.cl,158.170.77.129
pacevirtual.usach.cl,158.170.77.129
pagaredearancel.usach.cl,158.170.64.86
pagare.usach.cl,158.170.64.58
pagoenlinea-test.usach.cl,158.170.68.60
pagoenlinea.usach.cl,158.170.64.58
pagos.usach.cl,158.170.64.64
pagosyserviciosenlinea.usach.cl,158.170.64.26
paiep.udesantiago.cl,158.170.64.116
paiep.usach.cl,158.170.64.150
palillo.usach.cl,158.170.77.225
panelqyb.usach.cl,158.170.66.71
pares.usach.cl,158.170.77.129
patrimonio.usach.cl,158.170.66.212
pcs.webofknowledge.com.ezproxy.udesantiago.cl,158.170.10.44
pedagogia-fisica.usach.cl,158.170.64.150
pefft.usach.cl,158.170.64.150
pei2030.usach.cl,158.170.64.67
pei.usach.cl,158.170.66.62
periodismo.udesantiago.cl,158.170.64.116
periodismo.usach.cl,158.170.64.150
periododetransicion.usach.cl,158.170.64.106
periodointensivo.usach.cl,158.170.64.86
pg2.sai.usach.cl,158.170.66.241
pg-back2.sai.usach.cl,158.170.66.241
pg-back.sai.usach.cl,158.170.66.241
pg.sai.usach.cl,158.170.66.241
planetaria.usach.cl,200.73.208.19
planificacionestrategica.usach.cl,158.170.66.237
plantmed.usach.cl,158.170.64.116
plataforma-aenormas-aenor-com.ezproxy.usach.cl,158.170.10.44
plataforma-firma-digital.segic.cl,158.170.66.138
plemc.usach.cl,158.170.77.212
pmc-ncbi-nlm-nih-gov.ezproxy.usach.cl,158.170.10.44
pmi1502.usach.cl,158.170.64.113
portainer-68.88.usach.cl,158.170.68.87
portalcapacitaciones.usach.cl,158.170.66.111
portalfacturas.usach.cl,158.170.66.225
portalfisicaeducativa.usach.cl,158.170.66.101
portal.innovo.usach.cl,ghs.google.com.
portal.innovo.usach.cl,64.233.190.121
portal.segic.usach.cl,ghs.google.com.
portal.segic.usach.cl,64.233.190.121
portal-servicios.usach.cl,158.170.64.58
portal.udesantiago.cl,158.170.64.116
portal.usach.cl,158.170.64.154
possibilism.usach.cl,158.170.64.116
postergacionmatricula.usach.cl,158.170.64.35
postgrados.usach.cl,158.170.64.110
postgrado.usach.cl,postgrados.usach.cl.
postgrado.usach.cl,158.170.64.110
postitulobasica.usach.cl,158.170.64.150
